# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
2796.0000 I5 566179 5 1818.0000 w101 null 269 N w101->p31->c75->p36->p3->w86
2798.0000 I9 678250 5 1007.0000 c51 null 283 N c51->w103->p35->p1->p37->w109
2800.0000 I2 638690 4 2452.0000 p23 null 259 N p23->p18->p25->c41->p21
2802.0000 I5 566179 7 1824.0000 w101 null 269 N w101->c60->p12->t124->w107->t120->w97->w108
2803.0000 I5 566179 5 1825.0000 w101 null 269 N w101->w85->p24->p27->c47->c45
2803.0000 I5 566179 5 1825.0000 w101 null 269 N w101->c60->p12->c68->p11->w116
2805.0000 I2 638690 4 2457.0000 p23 null 259 N p23->p18->p22->t120->w91
2808.0000 I1 593012 5 2723.0000 p10 null 254 N p10->p34->w110->p12->t120->w91
2808.0000 I5 566179 2 1830.0000 w101 null 269 N w101->w87->w81
2809.0000 I5 566179 4 1831.0000 w101 null 269 N w101->p31->p25->c50->c66
2809.0000 I8 513337 7 1237.0000 c79 null 279 N c79->w82->c62->p18->p1->c71->p3->c73
2809.0000 I5 566179 6 1831.0000 w101 null 269 N w101->c60->p12->t124->w107->c48->w118
2810.0000 I8 513337 5 1238.0000 c79 null 279 N c79->c66->p27->c49->c78->w105
2811.0000 I4 638104 4 2055.0000 c47 null 265 N c47->p6->c61->c41->p21
2812.0000 I2 638690 5 2464.0000 p23 null 258 N p23->p18->t121->w103->c50->c66
2812.0000 I8 513337 4 1240.0000 c79 null 279 N c79->p4->w118->c48->w118
2814.0000 I5 566179 6 1836.0000 w101 null 269 N w101->w85->p24->p2->w109->c41->p21
2815.0000 I1 593012 7 2730.0000 p10 null 254 N p10->p25->p21->w98->c73->w98->w100->c63
2815.0000 I4 638104 6 2059.0000 c47 null 265 N c47->c51->p0->p29->p3->c50->c66
2816.0000 I5 566179 5 1838.0000 w101 null 269 N w101->p31->p26->w108->t123->p16
2816.0000 I1 593012 6 2731.0000 p10 null 254 N p10->w89->p13->w88->p31->c60->w88
2816.0000 I4 638104 5 2060.0000 c47 null 265 N c47->c51->c68->w97->c55->w80
2818.0000 I9 678250 4 1027.0000 c51 null 282 N c51->w103->c68->c48->w118
2819.0000 I5 566179 6 1841.0000 w101 null 269 N w101->c60->p12->t124->w107->w117->p39
2819.0000 I1 593012 8 2734.0000 p10 null 254 N p10->p25->p21->w98->c73->w98->c68->w99->w101
2822.0000 I8 513337 5 1250.0000 c79 null 279 N c79->p11->c50->c68->p2->c40
2822.0000 I5 566179 4 1844.0000 w101 null 269 N w101->p31->p25->c50->c56
2822.0000 I1 593012 7 2737.0000 p10 null 254 N p10->p25->p21->w98->c73->w98->w90->p30
2823.0000 I4 638104 8 2067.0000 c47 null 265 N c47->c51->c68->w97->c58->p26->w109->c70->c58
2823.0000 I2 638690 4 2475.0000 p23 null 258 N p23->p18->p22->t120->c63
2825.0000 I9 678250 6 1034.0000 c51 null 282 N c51->w103->p35->w109->p11->p2->c40
2826.0000 I5 566179 6 1848.0000 w101 null 269 N w101->c60->p12->t124->w107->t120->c63
2827.0000 I9 678250 8 1036.0000 c51 null 282 N c51->w103->p35->t124->p4->p16->c66->c47->c75
2827.0000 I8 513337 7 1255.0000 c79 null 279 N c79->w82->c62->p18->p1->c71->p3->p9
2829.0000 I1 593012 8 2744.0000 p10 null 254 N p10->p34->w110->w113->p31->w115->p32->p23->p14
2829.0000 I4 638104 4 2073.0000 c47 null 265 N c47->p6->c59->t120->c63
2830.0000 I8 513337 4 1258.0000 c79 null 279 N c79->p4->p8->c47->c75
2834.0000 I2 638690 6 2486.0000 p23 null 258 N p23->p18->p22->c43->w108->t122->p30
2835.0000 I8 513337 5 1263.0000 c79 null 278 N c79->p4->p8->c47->c46->c65
2835.0000 I5 566179 6 1857.0000 w101 null 269 N w101->c60->p12->t124->w107->t120->w100
2838.0000 I9 678250 4 1047.0000 c51 null 282 N c51->w103->c68->w88->p9
2838.0000 I2 638690 5 2490.0000 p23 null 258 N p23->p18->p25->c41->c79->c74
2839.0000 I4 638104 5 2083.0000 c47 null 265 N c47->w114->w99->w81->c48->c55
2839.0000 I2 638690 5 2491.0000 p23 null 258 N p23->p18->t121->w103->c71->w114
2840.0000 I4 638104 5 2084.0000 c47 null 265 N c47->p6->c61->p12->c62->p27
2841.0000 I2 638690 4 2493.0000 p23 null 258 N p23->p18->p22->t120->w119
2841.0000 I1 593012 4 2756.0000 p10 null 254 N p10->p11->p3->c57->p33
2841.0000 I1 593012 5 2756.0000 p10 null 254 N p10->p11->p3->p17->c72->w87
2841.0000 I5 566179 4 1863.0000 w101 null 268 N w101->p31->c75->c61->p19
2842.0000 I9 678250 4 1051.0000 c51 null 282 N c51->c67->w113->c46->c65
2842.0000 I2 638690 3 2494.0000 p23 null 258 N p23->p18->t121->w103
2844.0000 I4 638104 5 2088.0000 c47 null 265 N c47->c51->p0->p29->c79->c74
2844.0000 I5 566179 6 1866.0000 w101 null 268 N w101->c60->p12->t124->w107->t120->w119
2845.0000 I1 593012 6 2760.0000 p10 null 254 N p10->p25->p21->w83->p26->w104->w117
2845.0000 I4 638104 4 2089.0000 c47 null 265 N c47->w114->w99->t121->w103
2847.0000 I4 638104 4 2091.0000 c47 null 265 N c47->p6->c59->t120->w119
2848.0000 I8 513337 5 1276.0000 c79 null 278 N c79->p11->w117->c76->w84->c53
2848.0000 I2 638690 4 2500.0000 p23 null 258 N p23->p18->p25->t123->w101
2851.0000 I4 638104 4 2095.0000 c47 null 265 N c47->c51->p0->t123->w101
2853.0000 I8 513337 5 1281.0000 c79 null 278 N c79->w82->c62->w89->w81->p2
2855.0000 I1 593012 5 2770.0000 p10 null 253 N p10->w89->p13->w88->p31->c51
